avg_clicks,usage_rate,avg_days
1.555862018908116e-17,0.09271931025044478,-7.779310094540579e-17
1.166896514181087e-16,0.12683043656767484,2.3337930283621738e-17
4.6675860567243476e-17,0.16703161352128096,3.111724037816232e-17
4.2786205519973185e-17,0.06616942657725469,1.3224827160718985e-16
-3.3062067901797463e-17,0.4835773915423566,5.0565515614513766e-17
1.2446896151264928e-16,0.2065143013548652,-7.77931009454058e-18
-9.335172113448695e-17,0.4144313671821541,-6.612413580359493e-17
-3.111724037816232e-17,0.06562200629533324,0.0
-1.4391723674900073e-16,0.3725879293827836,3.88965504727029e-18
1.3224827160718985e-16,0.477658409744081,-7.77931009454058e-18
3.111724037816232e-17,0.08556863281784591,2.3337930283621738e-17
1.166896514181087e-16,0.32427808950321607,1.4002758170173042e-16
-1.2446896151264928e-16,0.29861776378814836,-1.166896514181087e-16
1.5558620189081158e-16,0.15433830573422747,-6.223448075632464e-17
-7.779310094540579e-17,0.4207951279594909,-1.0113103122902753e-16
0.0,0.0,0.0
-1.9837240741078478e-16,0.46198850417407966,7.001379085086521e-17
0.0,0.0,0.0
6.223448075632464e-17,0.47283426850964827,-7.77931009454058e-18
2.4893792302529857e-16,0.573491172847954,-6.223448075632464e-17
